parent_nutrition,gamete_methylation,offspring_lifespan,developer_alignment,agent_autonomy,codebase_persistence,fusion_eroi,energy_surplus,carbon_index,species_survival
3.083694320041054371e-01,5.545850271338103044e-01,1.006956206481236515e+00,-1.404869622242234328e+00,1.251951645875527541e+00,-3.194157474460090906e-01,-9.490868583893935506e-01,1.017442880866726185e+00,-1.639336635079116089e+00,9.257363419686627515e-02
1.758827627020522755e+00,1.284740426847497341e+00,5.494321914753149683e-01,8.686844076964473915e-01,-7.230187568207037396e-02,-4.248829117293039248e-01,-9.854827947269909072e-02,-1.391730110638085272e+00,-8.108092384707382694e-01,-1.362900086686706258e+00
-1.041117081915038378e+00,6.423852534210228171e-02,-1.536504844432674988e+00,2.188402875246225898e-01,6.583364171986251234e-01,-9.602615700213504857e-01,1.445510108256667703e+00,-9.449572528836366891e-02,5.790248687024716068e-01,1.163138981436576902e+00
1.205031794346268947e+00,1.777288029551700621e+00,3.340182437244115787e-01,2.686494304587799808e-01,9.145711187008582765e-01,-9.202880482066175816e-01,-6.515026845196049410e-02,-8.642979033472623085e-01,-1.614446185397702793e+00,-1.372504576217095318e+00
1.147276516130862678e+00,1.439433648758158268e+00,3.890033209768515854e-01,4.007515413891889200e-02,7.766194167465821918e-01,-9.059451945094284531e-01,1.064340573687173053e-01,-6.693056044030979423e-01,-1.835050111466702827e+00,-1.186503031226155525e+00
2.032226554384178652e+00,5.848372140444846323e-01,3.911230404547699768e-01,9.265543603508928916e-01,-6.931579191685657282e-01,6.592155044832986865e-01,-5.446163816196172291e-01,-1.037877517001019267e+00,-4.848752659692168177e-01,-1.661557772354735008e+00
3.008607448337172752e-01,-1.408935290143364050e+00,8.642418805431825168e-01,7.386379143161163341e-02,-1.262338485986739478e+00,1.645732867685496315e+00,-1.334251317697436434e+00,5.179348834519562628e-01,9.688834705071515119e-01,-4.229781907646602557e-01
3.073235414499925211e-01,7.734360118529992612e-01,1.363434883294481370e+00,-9.807585057569302434e-01,1.087286239405681032e+00,-5.324134124557056147e-01,-9.703702880540157061e-01,6.647609461372571138e-01,-1.840037187005282959e+00,-5.291827276302780714e-01
7.049997845477669056e-01,2.511175185963374634e-01,-1.268715716192914122e+00,1.416258492175645367e+00,-1.277183160567270992e+00,-1.114336582743863518e-01,1.018595796329020420e+00,-1.393518164501328371e+00,7.181802313891256784e-01,-6.954842466445128324e-02
1.437157110294969009e-01,1.838047750989291185e+00,6.299876545755791479e-01,-5.089226879034495221e-01,1.543284230314379002e+00,-1.228823823359827871e+00,-1.092761038379019695e-01,2.489571353535991460e-01,-1.747779710952244603e+00,-4.277637347251562194e-01
-2.283895857136539198e-01,-1.391508631832423237e+00,1.052763715582604842e+00,-1.030685567113367673e+00,-7.197473246588396156e-01,1.528619106703122066e+00,-1.180637307437518935e+00,1.153218634959231936e+00,5.940816248549383172e-01,3.074744096666001125e-01
1.218282408964717067e+00,-4.119675763937526991e-01,1.288070519871293618e+00,2.962153056899587411e-01,-7.693076193279398955e-01,1.329585390218434249e+00,-1.494333178569750453e+00,-4.246709671700692190e-02,-2.163874520069677954e-01,-1.285893890010539220e+00
-8.131983067344129568e-01,-6.097585497780690922e-01,-1.654706559760054319e+00,1.092206571165189155e+00,-7.772072536332205184e-01,-1.182103824291716732e-01,1.232399933302238626e+00,-6.563022912823399668e-01,1.407574234518653489e+00,1.023565737723091562e+00
-2.450592132652801014e-01,-1.163308960142391157e+00,-5.504346861232589649e-01,1.184407226804617297e+00,-1.396912396870455986e+00,7.304434324247252031e-01,2.933683359270455870e-01,-7.680950467739963150e-01,1.544748379356088996e+00,3.143506058280718385e-01
