dark_energy_density,horizon_radius,bremermann_limit,bekenstein_entropy,technosignature_detectability,civilization_lifespan,intelligence_density,attractor_alignment
-6.481943057954234755e-01,6.068587193737010610e-01,3.994071149857613134e-01,-7.371420687245994197e-01,-1.735393937084373173e+00,1.777830702056461654e+00,1.231016931011056581e+00,-9.149468379026660658e-01
1.616366369688209792e+00,-1.780313935394780778e+00,-9.901442441430070573e-01,6.455675403854662653e-01,-5.450371764621574355e-01,5.074718561316069465e-01,5.894430985745640061e-01,-9.637356570043843496e-01
-5.327732552338303451e-01,3.042810946245290138e-01,-3.422939051305021740e-01,3.713103153653201649e-01,1.443932204891984927e+00,-1.059216940040136334e+00,1.035504741121982653e+00,-1.355652306682922026e+00
-4.277886951169113106e-01,1.863673526455099927e-01,-2.500790378361035793e-01,3.548049135438991475e-01,2.565183362284177426e-01,-5.459380822626385132e-01,-1.641280026271317194e+00,1.994966789796728701e+00
-5.688067382130373995e-01,7.294038825631562473e-01,6.152851105882430893e-01,-6.582310940696993740e-01,1.625056809664747470e-02,-1.346466568806402586e-01,-1.618218132853820102e+00,1.605861805508306484e+00
-1.434778933618083840e+00,8.576613265328592028e-01,1.598786248038216673e+00,-1.545676611944978518e+00,-7.643963972790548400e-01,6.819829925427866035e-01,-3.805222824837270479e-01,3.475999524065455648e-01
5.344415293625733865e-01,-4.741471579763418265e-01,1.355199696783439212e+00,-1.473461496680915195e+00,-6.565571697950549623e-01,3.822397651083800363e-01,1.306885681976618141e+00,-1.034534223519758989e+00
-6.391045945653544003e-01,1.127286907428977303e+00,8.796425007081480618e-02,-9.572013373688913196e-02,-1.260222297268724256e+00,1.424021889838575028e+00,1.333547804854267715e+00,-1.474017949769930391e+00
1.107337948592231891e+00,-8.828669812906814185e-01,1.239363274075888199e+00,-1.417565065254019485e+00,-9.960956661858035854e-01,9.198436352261251114e-01,6.239020635475610588e-01,-9.393069618718151714e-01
-6.170664708000026533e-01,9.696581152672786308e-01,-7.384678910963752285e-01,7.440677020943247122e-01,8.824050457734128328e-01,-9.929404272571674683e-01,1.217909844076511261e+00,-1.407497402553322230e+00
1.946377533623838696e-01,-8.500069878405976109e-02,-7.930009088787460803e-01,6.518731829763206864e-01,-9.616361371903997535e-01,5.975505403509289160e-01,1.721764369401503902e+00,-1.562983464990101545e+00
3.498736896942701846e-01,-4.110350300494017284e-01,4.854881415689979440e-01,-5.396941823095149360e-01,1.610041474765922853e+00,-1.661122606434177085e+00,-4.183618085818492371e-01,6.947408193734760928e-01
1.089729751277440650e+00,-1.142115611596736358e+00,1.369577211917655468e+00,-1.147035615136239750e+00,7.605540938035580956e-01,-7.502666356467895259e-01,4.821377721755805146e-01,-6.371842620882894881e-01
-9.150336480421994434e-01,1.141048686160061720e+00,1.682562653906414685e+00,-1.209293246275783051e+00,-5.772822899769124438e-01,2.911783829287540315e-01,-9.646779024887287834e-02,2.850576652685692450e-02
-5.608366499464702004e-01,3.771813242323540094e-01,8.594566712749995840e-02,-3.231043542952931613e-01,1.961093577444388503e+00,-1.701093174107743078e+00,-8.705468467267493127e-01,7.159623121506212273e-01
-4.956177543408408770e-01,1.026886107607352994e+00,-9.903550637134874712e-01,1.166080091619729142e+00,-8.460402461029679078e-01,3.908217461510434809e-01,-1.449303204033570713e+00,1.288650752858948367e+00
-1.140434542842233556e+00,1.126151608674563098e+00,1.588300293034856869e+00,-1.632121395507448280e+00,-9.959836286826335705e-01,5.787811978897825504e-01,3.530506385383195278e-01,-2.640156289630742892e-01
-1.120005129971076263e+00,8.518423276977568070e-01,2.114089575897068474e-01,-2.148078627059192003e-01,-1.451870853647919901e+00,1.491959196349510020e+00,-5.762621525592126481e-01,5.957541267744610458e-01
1.914401024404028151e+00,-1.762701538194307638e+00,-5.675635299643903009e-01,4.802453163000038883e-01,9.266284704987413079e-01,-7.946816399763345640e-01,2.375261646880522381e-01,-1.835042726762989573e-01
-1.328327149265589313e-01,4.389055810354478004e-01,-8.064855286560441705e-01,9.125656759008882180e-01,1.769079629073140314e+00,-1.696294972277333502e+00,-2.465469940755662948e-01,3.055403317628578308e-01
1.884336249105484251e+00,-1.724486520265392286e+00,-9.899933044246921332e-01,9.428483489028843811e-01,-6.509828181138482828e-02,9.545234186430942569e-02,6.247559423388724387e-01,-1.936602984656149162e-01
1.637303800529610887e-01,-4.790730276366032547e-01,-1.636889254214252354e+00,1.747914312506883228e+00,-9.837428009936650675e-01,9.967479132314235324e-01,-2.653697988993504731e-01,2.320096234521434320e-01
-7.801770580540712263e-01,6.052160568882650749e-01,7.614791016629198772e-01,-4.013322557437135618e-01,6.750667473902466353e-01,-1.690511558291483696e-01,-1.673588666267147973e+00,1.482996909779235484e+00
-1.207005375252202084e+00,1.197802827901800038e+00,-1.116592877866604994e+00,6.564398185436046695e-01,1.458529359579929519e-01,-1.526299606543612963e-01,1.409273778973172631e+00,-1.229710357392934661e+00
-4.789716922664441490e-01,5.589584113359474804e-01,3.550178812319951249e-01,-4.838069029615685995e-02,-1.430731750989537199e+00,1.311477659550810193e+00,-1.618701390502044424e+00,1.298802195874044996e+00
-1.488407574843076953e+00,1.742712903402909408e+00,5.836005731389182910e-02,1.819182794539754566e-01,6.681737879224649568e-01,-7.871224841739035138e-01,-2.621536646126646497e-01,2.886416580052956204e-01
1.757338382978203439e+00,-1.689455655788651756e+00,5.785620060679543680e-02,-4.613135925623905731e-01,1.110604306722818985e-01,9.192571053112846835e-02,6.760622887202919484e-01,-3.902239644036097355e-01
4.062822077972620405e-01,-4.682700861346418275e-01,8.751023897938327023e-01,-9.236752768232556754e-01,-7.552818554257028083e-01,7.619036966204834060e-01,-1.493286535661755510e+00,1.681685806758134616e+00
4.100726516723073312e-01,-2.806109234101605843e-02,-6.533190646715745231e-01,5.784546278969038280e-01,1.397002181982497926e-01,1.182748973448792262e-01,1.747743407379326541e+00,-1.916088162376677673e+00
-1.625077430638769860e+00,1.360301746193258277e+00,8.771229347890784345e-01,-8.626995870657626631e-01,1.040632615920612514e+00,-1.047776243268156771e+00,4.517454677930259344e-01,-5.877565722617733579e-01
1.068762695647329952e+00,-1.307528758717927397e+00,-5.103815259499816515e-01,3.900590396957022699e-01,-8.669804550329458515e-01,7.709524158969698338e-01,9.367238118480287756e-01,-1.178612110271408886e+00
5.791482516692494364e-01,-7.143801825833041574e-01,1.095361988309974555e+00,-1.222460765084371515e+00,3.105339498109059293e-01,-2.988753092552389190e-01,1.426716315039255001e+00,-1.396393630456832513e+00
-3.588730522516043187e-01,1.870547631616660544e-01,-8.672691341266403064e-01,9.667189503824009655e-01,-1.619297622613369958e+00,1.614334180225696302e+00,-9.149632106756503402e-01,6.685043437590990623e-01
4.128895880347585035e-01,-5.294241325043909097e-01,-1.019336791559797506e+00,9.988205765914708323e-01,-4.035026636250130805e-01,5.835384290815170960e-01,1.484068781340470489e+00,-1.699277103655312038e+00
5.537770660183600757e-01,-4.202079424212599723e-01,1.233696395550667013e+00,-1.094844525180803441e+00,-4.661983234519998520e-01,5.265699201707760846e-01,-1.047289584089863501e+00,1.397437446559256280e+00
1.685291779137817914e+00,-1.052527139873574713e+00,-1.229989574581023426e+00,1.072546829602096352e+00,2.419110369052495865e-02,8.377122274913408051e-02,3.204064029971125382e-01,-2.203856813969422290e-01
-9.684865686549446462e-01,7.734846559501331598e-01,1.407490423267634627e+00,-9.256912236950237682e-01,9.214440172087354775e-01,-1.092990142985860169e+00,3.814472887545306001e-01,-4.641832664590878621e-01
1.369965781174451724e-01,2.369559308322158886e-01,4.103377080843170210e-01,-3.587744271746914904e-01,-1.811694585221083953e+00,1.635175200281064667e+00,-4.965821761291591141e-01,2.988569240647565017e-01
-2.651775667278001292e-01,1.232267539521290783e-01,-8.490129619410147210e-01,9.347792407974396811e-01,9.405391070344004678e-01,-9.284230781990321368e-01,-1.385491378238838500e+00,1.245377274570174775e+00
-4.498307552863208825e-01,6.495470440588039240e-01,-1.733161471531656339e+00,1.722414407163347150e+00,2.430562470137668518e-01,-6.067971396419976626e-01,8.445322793384083537e-01,-5.901809620787387134e-01
5.489145518823780323e-01,-2.959617598980235909e-01,1.982857982679990139e+00,-1.770794332221961032e+00,3.971883318678640640e-01,-2.980028989600673195e-01,-3.087935205703248309e-01,6.562717578408301389e-01
1.872407427190301732e+00,-1.813252188754774785e+00,-7.639112005362300728e-01,6.228947542547925709e-01,3.071861164273139155e-01,-3.149591249751627631e-01,2.429938939928579511e-01,-4.519237467836179634e-01
-9.754047033913783027e-01,1.050043482990133503e+00,1.531396616232019170e+00,-1.707550008483990522e+00,3.784132269410718785e-01,-5.696249703385804913e-02,5.370827853546450426e-01,-6.625401278743209277e-01
-5.465346216232512822e-01,8.108567330817139096e-01,1.170610768794251300e+00,-8.476384941391315042e-01,-6.530502799003378156e-01,8.252757251092432966e-01,-1.543574413980926208e+00,1.400618016272438648e+00
1.161328791986027120e+00,-1.215681961383709986e+00,-1.351193630685245672e-01,3.186950804499462664e-01,2.706594374564392225e-01,1.106899313377143201e-01,1.440997676775784386e+00,-1.504217556713138837e+00
1.042644924165824216e+00,-1.206265980989001951e+00,8.609712976676385798e-01,-4.677475781039340808e-01,1.328629101320661920e+00,-1.023187127540964747e+00,-8.162617411497902209e-01,5.640241990284030615e-01
1.167728919488334238e+00,-7.097324651026750697e-01,1.366912811749877221e+00,-1.411192428305422908e+00,1.365877012844637806e+00,-1.119927600330395956e+00,-1.258778614724790842e-02,2.197947018023777288e-01
-1.866670941606888290e+00,1.956927857711715291e+00,2.832665151717423391e-01,-1.688162464404354898e-02,-6.814761271972850920e-02,-1.072698811835369331e-01,-4.960753358829737836e-02,5.503767741686174109e-01
6.194000753353554600e-01,-1.110341668209520627e+00,4.685449448552090890e-01,-1.413901182802357881e-01,3.342825506667438940e-01,-1.976500110865718474e-01,-1.554597346993288998e+00,1.413606707133120199e+00
-1.752975338135563499e+00,1.812289885556253033e+00,6.559125703460954027e-01,-3.346194942136123673e-01,2.755931658826355490e-01,-1.792579833944463463e-01,1.042529886017289908e-01,-1.986335322129241174e-02
4.912844186782137634e-01,-7.660500632040390112e-01,1.659884241971648633e+00,-1.723856815140127674e+00,3.505608784097163227e-02,-5.260956572116147756e-01,8.329196608458596662e-01,-7.179443404657085415e-01
4.906019346505506307e-01,-4.066081965908715512e-01,1.346268612422366395e+00,-1.138180881366319230e+00,-7.569641917046985302e-01,7.884651863493562507e-01,1.054118093387248933e+00,-9.630734082178989963e-01
