sleep,intake,output,workout,environment,information,work,spending,relationships,spirituality
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.379367425473697395e-01,7.217138506148246258e-02,-5.688979048797196958e-01,4.187315130326082491e-01,1.914884222784645762e-01,-8.761424556580903189e-02,-9.358479845705271194e-02,9.115061033364370291e-02,-8.029809066130187689e-02,-6.777265834896407937e-02
2.772565249326906511e-01,-1.214415805102783685e-02,3.128158885278280871e-02,-4.238715023715623476e-01,3.413869559225191086e-01,-3.507612381388304779e-01,-1.824550512929493662e-01,9.896869514198852746e-02,2.466058929129148758e-02,-4.685365161659283406e-01
-2.061194372810635222e-01,3.910660490409447743e-01,-7.818574226070287847e-02,-2.272273087394904509e-02,-1.041590632087220913e-01,7.414626589275141733e-01,-4.594894682576676770e-01,2.767435081251647389e-01,-2.997257460025661846e-01,6.975569932601621836e-02
-3.678876521816786260e-01,2.611538492545116830e-01,5.239231333441367600e-01,2.865850158140284543e-01,-2.815658579784131588e-01,6.108290154867607180e-02,3.633198623004108008e-01,-4.588582211259500943e-01,3.456815795072344932e-01,5.320742953881565929e-02
-5.170559068190676288e-02,-4.459174868303545924e-01,-6.493726178674477656e-02,8.000413010884656062e-01,3.787932842835090019e-01,-4.160297559865736017e-02,6.978044738979226613e-01,9.565019019589365845e-03,4.466365847335890815e-01,1.187249545717019128e+00
1.260675589383401185e+00,2.119380459892395430e-01,-5.112888272483451235e-01,2.528896050953455266e-01,4.272212660308734034e-01,-4.268915041430208085e-02,-1.162520361359820203e-01,5.736121186758549317e-01,3.931188279467299207e-01,1.459703919535641770e-01
-1.190575429283718956e-02,5.815859470435376100e-01,-1.421265659728961073e-01,-7.872330742127482406e-01,-9.685749891505224252e-02,1.270452597522717664e+00,-2.078759957617110354e-01,-4.244127929273158739e-03,3.646029324636418378e-02,3.260783535328440896e-01
-4.087759000761338468e-01,-2.179607972488905032e-01,1.083471841068954333e+00,-2.743795034740635352e-01,-2.150702363315100119e-01,1.281822095313748244e-01,8.434210850984809049e-01,-3.411452434246824983e-01,3.831019299735436423e-01,-2.769283254840904096e-02
3.380657549228710534e-01,-5.018668390516047850e-01,-1.353708618568620348e-01,8.980800267854067709e-01,-8.011760052338938454e-02,-6.562835836079528029e-01,-1.094912730609310936e-01,5.316006955590951710e-01,-4.949114631945509823e-01,4.713688836454927866e-01
